,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle
0,1,1,0.6158269305030505,0.7710833333333333,39.321632862091064,39.36682963371277,0.01,16,True
1,1,2,0.4938863741517067,0.8186333333333333,39.74008297920227,79.25235772132874,0.01,16,True
2,1,3,0.475547308776776,0.8279166666666666,29.199857473373413,108.51525211334229,0.01,16,True
3,1,4,0.4656335777421792,0.8318833333333333,29.22257089614868,137.80335688591003,0.01,16,True
4,1,5,0.4647084423904618,0.83345,29.38355565071106,167.25148606300354,0.01,16,True
5,1,6,0.4597135199517012,0.8356333333333333,29.403581619262695,196.72148513793945,0.01,16,True
6,1,7,0.460601318342487,0.8360333333333333,29.32073140144348,226.10794878005981,0.01,16,True
7,1,8,0.47061347521195807,0.8343666666666667,31.76909637451172,257.9427661895752,0.01,16,True
8,1,9,0.4607960982690255,0.8378833333333333,43.22393321990967,301.31590723991394,0.01,16,True
9,1,10,0.4545898871585727,0.8376,43.326866149902344,344.7871310710907,0.01,16,True
10,1,11,0.4561575255175432,0.8384833333333334,38.44066047668457,383.37433648109436,0.01,16,True
11,1,12,0.4455480146984259,0.8415833333333333,30.042661905288696,413.4836177825928,0.01,16,True
12,1,13,0.45342245497256517,0.8414666666666667,30.180771827697754,443.733327627182,0.01,16,True
13,1,14,0.4424642622858286,0.8419,35.96901988983154,479.7753555774689,0.01,16,True
14,1,15,0.456065808480978,0.8365833333333333,37.674943923950195,517.6138491630554,0.01,16,True
15,2,1,0.5998835449834665,0.7686333333333333,29.469984531402588,29.51873254776001,0.01,16,False
16,2,2,0.5018514846116304,0.8135833333333333,29.155197858810425,58.750922441482544,0.01,16,False
17,2,3,0.4806526009480159,0.8257333333333333,39.40122175216675,98.23229885101318,0.01,16,False
18,2,4,0.4707108832259973,0.8283833333333334,29.793357133865356,128.0967161655426,0.01,16,False
19,2,5,0.4740128923743963,0.83035,31.045905351638794,159.22146916389465,0.01,16,False
20,2,6,0.4621359862764676,0.8347,43.718504667282104,203.09456539154053,0.01,16,False
21,2,7,0.46204654359817504,0.8328,35.63306522369385,238.88099765777588,0.01,16,False
22,2,8,0.4567909305105607,0.8344666666666667,39.39327430725098,278.34428548812866,0.01,16,False
23,2,9,0.4617869168192148,0.83575,29.519756317138672,307.9467475414276,0.01,16,False
24,2,10,0.476086207673947,0.8306333333333333,32.80983209609985,340.8379600048065,0.01,16,False
25,2,11,0.4796591065098842,0.8316166666666667,30.009572982788086,370.9185252189636,0.01,16,False
26,2,12,0.4622480960309506,0.8370166666666666,30.192309617996216,401.182386636734,0.01,16,False
27,2,13,0.4747870902468761,0.8314,30.370907068252563,431.625456571579,0.01,16,False
28,2,14,0.46900988892912865,0.8348833333333333,34.34772491455078,466.0434000492096,0.01,16,False
29,2,15,0.4601598047018051,0.8377,43.765496253967285,509.97538471221924,0.01,16,False
30,3,1,0.5793719731966654,0.7813333333333333,19.075348138809204,19.194857120513916,0.01,128,True
31,3,2,0.3929628225008647,0.85385,19.348517656326294,38.70042443275452,0.01,128,True
32,3,3,0.35555030937194826,0.8681833333333333,19.632359504699707,58.49044609069824,0.01,128,True
33,3,4,0.3361519106864929,0.8763833333333333,19.716639280319214,78.37357425689697,0.01,128,True
34,3,5,0.3251309915860494,0.8788166666666667,19.58806037902832,98.12980103492737,0.01,128,True
35,3,6,0.31612616459528603,0.8817333333333334,19.4186909198761,117.71473455429077,0.01,128,True
36,3,7,0.3081868920326233,0.8863166666666666,19.47993493080139,137.3628282546997,0.01,128,True
37,3,8,0.3039173770268758,0.8873,19.573143243789673,157.1036467552185,0.01,128,True
38,3,9,0.30188561860720314,0.8877666666666667,19.715572834014893,176.9892373085022,0.01,128,True
39,3,10,0.29425252698262533,0.89065,19.666933059692383,196.8213152885437,0.01,128,True
40,3,11,0.29378253246943153,0.8914,19.57624125480652,216.56190133094788,0.01,128,True
41,3,12,0.29311663099924723,0.8922166666666667,19.52402424812317,236.2505521774292,0.01,128,True
42,3,13,0.283861661640803,0.8942666666666667,19.695471048355103,256.10909962654114,0.01,128,True
43,3,14,0.2821488668759664,0.8947833333333334,19.504676580429077,275.78407049179077,0.01,128,True
44,3,15,0.2812719384352366,0.8959333333333334,19.559009552001953,295.51360034942627,0.01,128,True
45,4,1,0.5482293969790141,0.7934833333333333,19.16012477874756,19.273520469665527,0.01,128,False
46,4,2,0.36961069666544594,0.8645166666666667,19.35765767097473,38.799296855926514,0.01,128,False
47,4,3,0.3411094605763753,0.87465,19.741376638412476,58.72564888000488,0.01,128,False
48,4,4,0.3196116438229879,0.8823333333333333,19.302154779434204,78.20276737213135,0.01,128,False
49,4,5,0.3129008989969889,0.8851666666666667,19.48012375831604,97.85583257675171,0.01,128,False
50,4,6,0.305058865070343,0.8858833333333334,19.360674381256104,117.3935444355011,0.01,128,False
51,4,7,0.2987010987917582,0.8895166666666666,16.26902413368225,133.8388352394104,0.01,128,False
52,4,8,0.2977617402076721,0.89045,19.444411993026733,153.45591759681702,0.01,128,False
53,4,9,0.29616190354029337,0.8905833333333333,19.589261770248413,173.21375107765198,0.01,128,False
54,4,10,0.2830341863632202,0.8961,19.533580541610718,192.92128944396973,0.01,128,False
55,4,11,0.2912871171315511,0.89185,19.245480060577393,212.34102129936218,0.01,128,False
56,4,12,0.282872776889801,0.8958,19.425820350646973,231.9383487701416,0.01,128,False
57,4,13,0.28035954186121625,0.8972833333333333,19.626991987228394,251.73474597930908,0.01,128,False
58,4,14,0.2735847241401672,0.8987833333333334,19.640366554260254,271.54552388191223,0.01,128,False
